=== per_query ===
topk,job,n_common_plans,runtimes_A,runtimes_B,rank_labels_A,rank_labels_B,ndcg,skipped
15,3,15,"[1121, 1623, 1279, 6358, 1436, 1108, 1735, 1336, 1629, 1646, 1508, 1004, 7072, 1059, 1662]","[1269, 1784, 1293, 7597, 1276, 1484, 1976, 1398, 1920, 1861, 1723, 1356, 8413, 1461, 1828]","[11, 6, 10, 1, 8, 12, 2, 9, 5, 4, 7, 14, 0, 13, 3]","[14, 6, 12, 1, 13, 8, 2, 10, 3, 4, 7, 11, 0, 9, 5]",0.9305979208479966,False
15,5,11,"[2295, 1850, 2210, 1889, 1743, 5364, 1930, 1478, 1423, 1451, 22863]","[2515, 2148, 2516, 2197, 2053, 6679, 2230, 1778, 1690, 1691, 26892]","[2, 6, 3, 5, 7, 1, 4, 8, 10, 9, 0]","[3, 6, 2, 5, 7, 1, 4, 8, 10, 9, 0]",0.9995182931156718,False
15,6,2,"[571, 587]","[705, 695]","[1, 0]","[0, 1]",0.6309297535714573,False
15,10,11,"[852, 1937, 971, 1924, 3772, 3762, 9668, 9684, 2046, 1217, 25652]","[1058, 2290, 1260, 2352, 4338, 4519, 10721, 10911, 2395, 1509, 31922]","[10, 6, 9, 7, 3, 4, 2, 1, 5, 8, 0]","[10, 7, 9, 6, 4, 3, 2, 1, 5, 8, 0]",0.9979412673539314,False
15,12,12,"[3996, 1308, 1274, 1303, 1099, 1401, 1314, 4107, 1108, 1221, 1032, 1138]","[4625, 1329, 1260, 1506, 1180, 1564, 1294, 4586, 1157, 1227, 1117, 1186]","[1, 4, 6, 5, 10, 2, 3, 0, 9, 7, 11, 8]","[0, 4, 6, 3, 9, 2, 5, 1, 10, 7, 11, 8]",0.9941290781340293,False
15,14,10,"[924, 1088, 816, 907, 797, 1105, 801, 983, 1017, 775]","[1028, 1110, 877, 913, 827, 1145, 856, 1002, 1037, 845]","[4, 1, 6, 5, 8, 0, 7, 3, 2, 9]","[3, 1, 6, 5, 9, 0, 7, 4, 2, 8]",0.9845828171612352,False

=== summary ===
topk,n_jobs,n_scored,mean_ndcg,median_ndcg,std_ndcg,min_ndcg,max_ndcg
3,7,7,0.907171638842075,0.9939966084025839,0.15315093334129037,0.6309297535714573,1.0
6,7,7,0.9247850094565567,0.995650163139743,0.13670209463615698,0.6309297535714573,1.0
10,7,7,0.9318247388614009,0.9943338653508932,0.1360746404439423,0.6309297535714573,1.0
15,7,7,0.9339570185977603,0.9941290781340293,0.13587641156202737,0.6309297535714573,1.0
